IdGestion;DiasAtraso;MontoDeuda;Canal;ContactoEfectivo;PromesasCumplidas;NotaGestor;Pago30d
1;77.0;51878.33;telefono;si;0;solicita que le enviemos los datos de la cuenta por escrito;0
2;171.0;84480.03;email;no;2;se envia detalle de la deuda por el canal habitual;0
3;198.0;59030.68;visita;no;3;se envia detalle de la deuda por el canal habitual;0
4;129.0;79358.35;whatsapp;si;2;manifiesta intencion de regularizar apenas cobre el sueldo;1
5;157.0;88285.55;telefono;si;2;se deja mensaje en el contestador con los datos de contacto;0
6;23.0;14007.3;whatsapp;no;0;no atiende el telefono, el numero figura fuera de servicio;0
7;253.0;108786.62;whatsapp;no;0;toma nota de la gestion sin comprometer una fecha;0
8;57.0;43416.45;email;no;0;se niega a pagar y menciona que iniciara un reclamo;0
9;98.0;61270.65;email;si;0;consulta el monto exacto para ponerse al dia esta semana;1
10;83.0;74255.2;whatsapp;si;1;se deja mensaje en el contestador con los datos de contacto;1
11;105.0;150666.55;visita;no;0;se deja mensaje en el contestador con los datos de contacto;0
12;77.0;24645.77;email;si;2;atiende y pide volver a llamar en horario de la tarde;1
13;34.0;70574.51;whatsapp;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;1
14;600.0;50716.84;email;no;1;atendio un tercero que dice no conocer al titular;0
15;73.0;8697.41;email;no;0;se envia detalle de la deuda por el canal habitual;0
16;8.0;11657.87;telefono;no;1;atiende y pide volver a llamar en horario de la tarde;1
17;109.0;49075.08;email;si;1;se niega a pagar y menciona que iniciara un reclamo;1
18;45.0;255167.54;whatsapp;no;0;atendio un tercero que dice no conocer al titular;0
19;128.0;68713.08;whatsapp;si;1;se envia detalle de la deuda por el canal habitual;0
20;47.0;70485.84;visita;no;1;atiende y pide volver a llamar en horario de la tarde;0
21;80.0;45822.02;email;si;1;atiende y pide volver a llamar en horario de la tarde;0
22;80.0;14256.42;whatsapp;si;1;manifiesta intencion de regularizar apenas cobre el sueldo;1
23;45.0;45283.47;email;no;0;se niega a pagar y menciona que iniciara un reclamo;0
24;50.0;56781.35;whatsapp;no;1;se niega a pagar y menciona que iniciara un reclamo;0
25;216.0;19200.55;whatsapp;no;0;atendio un tercero que dice no conocer al titular;0
26;17.0;58744.5;telefono;si;0;se envia detalle de la deuda por el canal habitual;1
27;310.0;89676.96;whatsapp;si;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
28;71.0;9619.46;telefono;si;2;toma nota de la gestion sin comprometer una fecha;1
29;12.0;63234.26;telefono;si;0;se deja mensaje en el contestador con los datos de contacto;1
30;159.0;14120.07;telefono;si;0;se envia detalle de la deuda por el canal habitual;1
31;16.0;45536.3;telefono;si;0;pide plan de pagos en tres cuotas y deja telefono alternativo;1
32;74.0;29036.38;whatsapp;si;1;toma nota de la gestion sin comprometer una fecha;1
33;401.0;65619.33;telefono;no;0;atendio un tercero que dice no conocer al titular;0
34;196.0;39452.9;email;si;1;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
35;42.0;86374.05;visita;si;0;no atiende el telefono, el numero figura fuera de servicio;0
36;87.0;4880.29;email;si;2;solicita que le enviemos los datos de la cuenta por escrito;1
37;173.0;60047.05;telefono;no;0;toma nota de la gestion sin comprometer una fecha;0
38;35.0;31862.67;whatsapp;si;2;se niega a pagar y menciona que iniciara un reclamo;1
39;31.0;31083.65;email;no;0;se niega a pagar y menciona que iniciara un reclamo;0
40;87.0;14309.26;whatsapp;no;1;se envia detalle de la deuda por el canal habitual;0
41;151.0;30640.45;email;no;2;sin respuesta a los mensajes, la direccion registrada es incorrecta;0
42;88.0;25328.47;whatsapp;si;2;atendio un tercero que dice no conocer al titular;1
43;62.0;75508.95;visita;si;1;solicita que le enviemos los datos de la cuenta por escrito;0
44;30.0;62556.66;telefono;si;0;manifiesta intencion de regularizar apenas cobre el sueldo;0
45;103.0;52107.22;visita;no;1;se envia detalle de la deuda por el canal habitual;0
46;164.0;73907.67;whatsapp;si;3;manifiesta intencion de regularizar apenas cobre el sueldo;1
47;51.0;25001.8;whatsapp;si;1;se deja mensaje en el contestador con los datos de contacto;1
48;214.0;178109.61;whatsapp;no;0;se envia detalle de la deuda por el canal habitual;0
49;62.0;88554.43;email;si;1;se deja mensaje en el contestador con los datos de contacto;1
